20 0
0 1 5
0 2 3
0 3 7
0 4 2
0 5 8
0 6 1
0 7 6
0 8 4
0 9 9
0 10 3
0 11 7
0 12 2
0 13 8
0 14 1
0 15 6
0 16 4
0 17 9
0 18 3
0 19 7
1 2 6
1 3 4
1 4 9
1 5 1
1 6 7
1 7 3
1 8 8
1 9 2
1 10 5
1 11 9
1 12 1
1 13 6
1 14 4
1 15 8
1 16 3
1 17 7
1 18 2
1 19 6
2 3 5
2 4 8
2 5 3
2 6 2
2 7 6
2 8 9
2 9 1
2 10 7
2 11 3
2 12 8
2 13 4
2 14 9
2 15 2
2 16 6
2 17 5
2 18 8
2 19 3
3 4 1
3 5 9
3 6 4
3 7 8
3 8 3
3 9 7
3 10 6
3 11 2
3 12 9
3 13 5
3 14 8
3 15 1
3 16 4
3 17 7
3 18 9
3 19 2
4 5 7
4 6 2
4 7 5
4 8 9
4 9 1
4 10 8
4 11 6
4 12 3
4 13 7
4 14 9
4 15 2
4 16 5
4 17 8
4 18 6
4 19 4
5 6 8
5 7 3
5 8 6
5 9 4
5 10 7
5 11 9
5 12 2
5 13 5
5 14 8
5 15 3
5 16 6
5 17 9
5 18 4
5 19 7
6 7 1
6 8 5
6 9 8
6 10 3
6 11 6
6 12 9
6 13 2
6 14 7
6 15 5
6 16 8
6 17 1
6 18 6
6 19 3
7 8 9
7 9 2
7 10 7
7 11 4
7 12 8
7 13 1
7 14 6
7 15 9
7 16 2
7 17 5
7 18 8
7 19 3
8 9 3
8 10 6
8 11 9
8 12 1
8 13 5
8 14 8
8 15 2
8 16 7
8 17 4
8 18 9
8 19 1
9 10 7
9 11 4
9 12 8
9 13 2
9 14 6
9 15 9
9 16 3
9 17 7
9 18 5
9 19 8
10 11 5
10 12 9
10 13 3
10 14 7
10 15 1
10 16 8
10 17 4
10 18 6
10 19 2
11 12 8
11 13 6
11 14 4
11 15 9
11 16 2
11 17 5
11 18 7
11 19 3
12 13 7
12 14 3
12 15 8
12 16 5
12 17 1
12 18 9
12 19 4
13 14 9
13 15 2
13 16 6
13 17 4
13 18 8
13 19 5
14 15 3
14 16 7
14 17 5
14 18 9
14 19 2
15 16 8
15 17 6
15 18 4
15 19 7
16 17 9
16 18 3
16 19 6
17 18 5
17 19 8
18 19 1
