1000 0
0 1 82
1 2 15
2 3 4
3 4 95
4 5 36
5 6 32
6 7 29
7 8 18
8 9 95
9 10 14
10 11 87
11 12 95
12 13 70
13 14 12
14 15 76
15 16 55
16 17 5
17 18 4
18 19 12
19 20 28
20 21 30
21 22 65
22 23 78
23 24 4
24 25 72
25 26 26
26 27 92
27 28 84
28 29 90
29 30 70
30 31 54
31 32 29
32 33 58
33 34 76
34 35 36
35 36 1
36 37 98
37 38 21
38 39 90
39 40 55
40 41 44
41 42 36
42 43 20
43 44 28
44 45 98
45 46 44
46 47 14
47 48 12
48 49 49
49 50 13
50 51 46
51 52 45
52 53 78
53 54 34
54 55 6
55 56 94
56 57 59
57 58 69
58 59 16
59 60 49
60 61 11
61 62 71
62 63 38
63 64 81
64 65 80
65 66 47
66 67 74
67 68 25
68 69 91
69 70 9
70 71 6
71 72 85
72 73 30
73 74 99
74 75 38
75 76 11
76 77 30
77 78 13
78 79 49
79 80 36
80 81 59
81 82 82
82 83 47
83 84 21
84 85 48
85 86 46
86 87 27
87 88 86
88 89 35
89 90 90
90 91 88
91 92 83
92 93 10
93 94 78
94 95 82
95 96 22
96 97 69
97 98 94
98 99 32
99 100 21
100 101 60
101 102 49
102 103 35
103 104 82
104 105 89
105 106 72
106 107 29
107 108 88
108 109 42
109 110 99
110 111 100
111 112 8
112 113 30
113 114 5
114 115 41
115 116 52
116 117 35
117 118 9
118 119 28
119 120 73
120 121 92
121 122 41
122 123 28
123 124 84
124 125 64
125 126 51
126 127 83
127 128 59
128 129 19
129 130 34
130 131 18
131 132 32
132 133 96
133 134 72
134 135 69
135 136 34
136 137 96
137 138 75
138 139 55
139 140 75
140 141 52
141 142 47
142 143 29
143 144 18
144 145 66
145 146 64
146 147 12
147 148 97
148 149 7
149 150 15
150 151 20
151 152 81
152 153 21
153 154 88
154 155 55
155 156 77
156 157 9
157 158 50
158 159 49
159 160 77
160 161 60
161 162 68
162 163 33
163 164 71
164 165 2
165 166 88
166 167 93
167 168 15
168 169 88
169 170 69
170 171 97
171 172 35
172 173 99
173 174 83
174 175 44
175 176 15
176 177 38
177 178 56
178 179 21
179 180 59
180 181 1
181 182 93
182 183 93
183 184 34
184 185 65
185 186 98
186 187 23
187 188 65
188 189 14
189 190 81
190 191 39
191 192 82
192 193 65
193 194 78
194 195 26
195 196 20
196 197 48
197 198 98
198 199 21
199 200 70
200 201 100
201 202 68
202 203 1
203 204 77
204 205 42
205 206 63
206 207 3
207 208 15
208 209 47
209 210 40
210 211 31
211 212 8
212 213 31
213 214 73
214 215 11
215 216 11
216 217 94
217 218 63
218 219 9
219 220 98
220 221 69
221 222 99
222 223 17
223 224 17
224 225 85
225 226 61
226 227 71
227 228 22
228 229 34
229 230 68
230 231 78
231 232 55
232 233 28
233 234 70
234 235 97
235 236 94
236 237 89
237 238 26
238 239 92
239 240 40
240 241 52
241 242 86
242 243 84
243 244 48
244 245 57
245 246 67
246 247 58
247 248 16
248 249 32
249 250 29
250 251 9
